[pt.c] /dev/sgx-step opened!
[pt.c] /dev/mem opened!

--------------------------------------------------------------------------------
[main.c] Creating enclave...
--------------------------------------------------------------------------------

[main.c] cipher is 9334

==== System Settings ====
    Pstate max perf pct: 100
    Pstate min perf pct: 100
    Turbo Boost:         0
    cpu pinning:         1
    Designated cpu:      1
    Running on cpu:      1
==== Victim Enclave ====
    Base: 0x7f9447000000
    Size: 4194304
    Limit:  0x7f9447400000
    TCS:  0x7f944737f000
    AEP:  0x4036ec
    EDBGRD: debug
[main.c] Establishing user space IDT mapping
[main.c] ^^ enclave RIP=0x875e; latency=7964
[main.c] ^^ enclave RIP=0x8762; latency=7814
[main.c] ^^ enclave RIP=0x8766; latency=7800
[main.c] ^^ enclave RIP=0x8769; latency=7800
[main.c] ^^ enclave RIP=0x202f; latency=7742
[main.c] ^^ enclave RIP=0x2031; latency=7878
[main.c] ^^ enclave RIP=0x2033; latency=7854
[main.c] ^^ enclave RIP=0x2037; latency=7938
[main.c] ^^ enclave RIP=0x203a; latency=7870
[main.c] ^^ enclave RIP=0x203d; latency=7790
[main.c] ^^ enclave RIP=0x2041; latency=7908
[main.c] ^^ enclave RIP=0x876c; latency=7782
[main.c] ^^ enclave RIP=0x8771; latency=7790
[main.c] ^^ enclave RIP=0x8740; latency=7798
[main.c] ^^ enclave RIP=0x8744; latency=7766
[main.c] ^^ enclave RIP=0x8748; latency=7708
[main.c] ^^ enclave RIP=0x874b; latency=7698
[main.c] ^^ enclave RIP=0x8750; latency=7950
[main.c] ^^ enclave RIP=0x8753; latency=7998
[main.c] ^^ enclave RIP=0x8758; latency=7736
[main.c] ^^ enclave RIP=0x875b; latency=7782
[main.c] ^^ enclave RIP=0x875e; latency=7906
[main.c] ^^ enclave RIP=0x8762; latency=7954
[main.c] ^^ enclave RIP=0x8766; latency=7756
[main.c] ^^ enclave RIP=0x8769; latency=7796
[main.c] ^^ enclave RIP=0x202f; latency=7754
[main.c] ^^ enclave RIP=0x2031; latency=7926
[main.c] ^^ enclave RIP=0x2033; latency=7890
[main.c] ^^ enclave RIP=0x2041; latency=8024
[main.c] ^^ enclave RIP=0x876c; latency=7790
[main.c] ^^ enclave RIP=0x8790; latency=7898
[main.c] ^^ enclave RIP=0x8794; latency=7696
[main.c] ^^ enclave RIP=0x8797; latency=7794
[main.c] ^^ enclave RIP=0x8798; latency=7858
[main.c] ^^ enclave RIP=0x8799; latency=7852
[main.c] ^^ enclave RIP=0x879b; latency=7998
[main.c] ^^ enclave RIP=0x879d; latency=8014
[main.c] ^^ enclave RIP=0x879f; latency=7886
[main.c] ^^ enclave RIP=0x87a1; latency=7768
[main.c] ^^ enclave RIP=0x2079; latency=7802
[main.c] ^^ enclave RIP=0x207c; latency=7988
[main.c] ^^ enclave RIP=0x207e; latency=7798
[main.c] ^^ enclave RIP=0x2083; latency=8008
[main.c] ^^ enclave RIP=0x208a; latency=7778
[main.c] ^^ enclave RIP=0x208d; latency=7836
[main.c] ^^ enclave RIP=0x2091; latency=7958
[main.c] ^^ enclave RIP=0x2094; latency=7780
[main.c] ^^ enclave RIP=0x2098; latency=7788
[main.c] ^^ enclave RIP=0x514a; latency=7744
[main.c] ^^ enclave RIP=0x514c; latency=7696
[main.c] ^^ enclave RIP=0x514e; latency=7902
[main.c] ^^ enclave RIP=0x514f; latency=7836
[main.c] ^^ enclave RIP=0x6c30; latency=7698
[main.c] ^^ enclave RIP=0x6c32; latency=7742
[main.c] ^^ enclave RIP=0x6c37; latency=7956
[main.c] ^^ enclave RIP=0x6c39; latency=7988
[main.c] ^^ enclave RIP=0x6c3d; latency=7812
[main.c] ^^ enclave RIP=0x6c3f; latency=7916
[main.c] ^^ enclave RIP=0x6c40; latency=7870
[main.c] ^^ enclave RIP=0x6c41; latency=8066
[main.c] ^^ enclave RIP=0x6c43; latency=7840
[main.c] ^^ enclave RIP=0x6c45; latency=7802
[main.c] ^^ enclave RIP=0x8387; latency=7804
[main.c] ^^ enclave RIP=0x838a; latency=7950
[main.c] ^^ enclave RIP=0x8391; latency=7822
[main.c] ^^ enclave RIP=0x76fc; latency=7740
[main.c] ^^ enclave RIP=0x76ff; latency=7766
[main.c] ^^ enclave RIP=0x7706; latency=7974
[main.c] ^^ enclave RIP=0x7708; latency=7842
[main.c] ^^ enclave RIP=0x770d; latency=7778
[main.c] ^^ enclave RIP=0x7710; latency=7840
[main.c] ^^ enclave RIP=0x7713; latency=7730
[main.c] ^^ enclave RIP=0x7718; latency=7814
[main.c] ^^ enclave RIP=0x771d; latency=7996
[main.c] ^^ enclave RIP=0x7721; latency=7720
[main.c] ^^ enclave RIP=0x7727; latency=7838
[main.c] ^^ enclave RIP=0x8396; latency=7746
[main.c] ^^ enclave RIP=0x839d; latency=7928
[main.c] ^^ enclave RIP=0x83a0; latency=7828
[main.c] ^^ enclave RIP=0x83a4; latency=7868
[main.c] ^^ enclave RIP=0x83a7; latency=8018
[main.c] ^^ enclave RIP=0x83a8; latency=7802
[main.c] ^^ enclave RIP=0x83a9; latency=7832
[main.c] ^^ enclave RIP=0x83ac; latency=7678
[main.c] ^^ enclave RIP=0x83af; latency=7792
[main.c] ^^ enclave RIP=0x83b2; latency=7750
[main.c] ^^ enclave RIP=0x83b5; latency=7804
[main.c] ^^ enclave RIP=0x83b8; latency=7720
[main.c] ^^ enclave RIP=0x83bb; latency=7822
[main.c] ^^ enclave RIP=0x83be; latency=7834
[main.c] ^^ enclave RIP=0x83c1; latency=7798
[main.c] ^^ enclave RIP=0x83c4; latency=7794
[main.c] ^^ enclave RIP=0x83c7; latency=7790
[main.c] ^^ enclave RIP=0x83ca; latency=7728
[main.c] ^^ enclave RIP=0x83cd; latency=7744
[main.c] do_bsearch returned index 4
[main.c] Caught fault 11! Restoring enclave page permissions..
[main.c] ^^ enclave RIP=0x83d4; latency=8674
[main.c] ^^ enclave RIP=0x3000; latency=7948
[main.c] ^^ enclave RIP=0x2057; latency=7806
[main.c] ^^ enclave RIP=0x205c; latency=7968
[main.c] ^^ enclave RIP=0x2063; latency=7976
[main.c] ^^ enclave RIP=0x206a; latency=7798
[main.c] ^^ enclave RIP=0x206f; latency=8002
[main.c] ^^ enclave RIP=0x2074; latency=7840
[main.c] ^^ enclave RIP=0x8710; latency=7974
[main.c] ^^ enclave RIP=0x8712; latency=7818
[main.c] ^^ enclave RIP=0x8714; latency=7972
[main.c] ^^ enclave RIP=0x8716; latency=7888
[main.c] ^^ enclave RIP=0x8718; latency=7878
[main.c] ^^ enclave RIP=0x8719; latency=7944
[main.c] ^^ enclave RIP=0x871a; latency=7776
[main.c] ^^ enclave RIP=0x871e; latency=7828
[main.c] ^^ enclave RIP=0x8721; latency=7856
[main.c] ^^ enclave RIP=0x8726; latency=7794
[main.c] ^^ enclave RIP=0x8728; latency=7708
[main.c] ^^ enclave RIP=0x872b; latency=7706
[main.c] ^^ enclave RIP=0x872e; latency=7794
[main.c] ^^ enclave RIP=0x8731; latency=7704
[main.c] ^^ enclave RIP=0x8734; latency=7954
[main.c] ^^ enclave RIP=0x8750; latency=7764
[main.c] ^^ enclave RIP=0x8753; latency=7794
[main.c] ^^ enclave RIP=0x8758; latency=7810
[main.c] ^^ enclave RIP=0x875b; latency=7790
[main.c] ^^ enclave RIP=0x875e; latency=7772
[main.c] ^^ enclave RIP=0x8762; latency=7776
[main.c] ^^ enclave RIP=0x8766; latency=7662
[main.c] ^^ enclave RIP=0x8769; latency=7914
[main.c] ^^ enclave RIP=0x202f; latency=7780
[main.c] ^^ enclave RIP=0x2031; latency=7964
[main.c] ^^ enclave RIP=0x2033; latency=7872
[main.c] ^^ enclave RIP=0x2037; latency=7696
[main.c] ^^ enclave RIP=0x203a; latency=7828
[main.c] ^^ enclave RIP=0x203d; latency=7756
[main.c] ^^ enclave RIP=0x2041; latency=7886
[main.c] ^^ enclave RIP=0x876c; latency=7772
[main.c] ^^ enclave RIP=0x8771; latency=7748
[main.c] ^^ enclave RIP=0x8773; latency=7784
[main.c] ^^ enclave RIP=0x8776; latency=7774
[main.c] ^^ enclave RIP=0x8750; latency=7908
[main.c] ^^ enclave RIP=0x8753; latency=7826
[main.c] ^^ enclave RIP=0x8758; latency=7754
[main.c] ^^ enclave RIP=0x875b; latency=7754
[main.c] ^^ enclave RIP=0x875e; latency=7712
[main.c] ^^ enclave RIP=0x8762; latency=7824
[main.c] ^^ enclave RIP=0x8766; latency=7966
[main.c] ^^ enclave RIP=0x8769; latency=8022
[main.c] ^^ enclave RIP=0x202f; latency=7726
[main.c] ^^ enclave RIP=0x2031; latency=7882
[main.c] ^^ enclave RIP=0x2033; latency=7886
[main.c] ^^ enclave RIP=0x2037; latency=7756
[main.c] ^^ enclave RIP=0x203a; latency=7948
[main.c] ^^ enclave RIP=0x203d; latency=7704
[main.c] ^^ enclave RIP=0x2041; latency=7866
[main.c] ^^ enclave RIP=0x876c; latency=7744
[main.c] ^^ enclave RIP=0x8771; latency=7746
[main.c] ^^ enclave RIP=0x8740; latency=7770
[main.c] ^^ enclave RIP=0x8744; latency=7822
[main.c] ^^ enclave RIP=0x8748; latency=7806
[main.c] ^^ enclave RIP=0x874b; latency=7716
[main.c] ^^ enclave RIP=0x8750; latency=7716
[main.c] ^^ enclave RIP=0x8753; latency=7920
[main.c] ^^ enclave RIP=0x8758; latency=7710
[main.c] ^^ enclave RIP=0x875b; latency=7776
[main.c] ^^ enclave RIP=0x875e; latency=7786
[main.c] ^^ enclave RIP=0x8762; latency=7722
[main.c] ^^ enclave RIP=0x8766; latency=7920
[main.c] ^^ enclave RIP=0x8769; latency=7828
[main.c] ^^ enclave RIP=0x202f; latency=7724
[main.c] ^^ enclave RIP=0x2031; latency=7918
[main.c] ^^ enclave RIP=0x2033; latency=8036
[main.c] ^^ enclave RIP=0x2041; latency=7836
[main.c] ^^ enclave RIP=0x876c; latency=7696
[main.c] ^^ enclave RIP=0x8790; latency=7784
[main.c] ^^ enclave RIP=0x8794; latency=7758
[main.c] ^^ enclave RIP=0x8797; latency=7796
[main.c] ^^ enclave RIP=0x8798; latency=7942
[main.c] ^^ enclave RIP=0x8799; latency=7910
[main.c] ^^ enclave RIP=0x879b; latency=7868
[main.c] ^^ enclave RIP=0x879d; latency=7874
[main.c] ^^ enclave RIP=0x879f; latency=7834
[main.c] ^^ enclave RIP=0x87a1; latency=7934
[main.c] ^^ enclave RIP=0x2079; latency=7826
[main.c] ^^ enclave RIP=0x207c; latency=7920
[main.c] ^^ enclave RIP=0x207e; latency=7998
[main.c] ^^ enclave RIP=0x2083; latency=7788
[main.c] ^^ enclave RIP=0x208a; latency=7946
[main.c] ^^ enclave RIP=0x208d; latency=7936
[main.c] ^^ enclave RIP=0x2091; latency=7812
[main.c] ^^ enclave RIP=0x2094; latency=7762
[main.c] ^^ enclave RIP=0x2098; latency=7768
[main.c] ^^ enclave RIP=0x514a; latency=8004
[main.c] ^^ enclave RIP=0x514c; latency=7772
[main.c] ^^ enclave RIP=0x514e; latency=7786
[main.c] ^^ enclave RIP=0x514f; latency=7816
[main.c] ^^ enclave RIP=0x6c30; latency=7810
[main.c] ^^ enclave RIP=0x6c32; latency=7684
[main.c] ^^ enclave RIP=0x6c37; latency=7940
[main.c] ^^ enclave RIP=0x6c39; latency=7878
[main.c] ^^ enclave RIP=0x6c3d; latency=7774
[main.c] ^^ enclave RIP=0x6c3f; latency=7794
[main.c] ^^ enclave RIP=0x6c40; latency=8006
[main.c] ^^ enclave RIP=0x6c41; latency=7860
[main.c] ^^ enclave RIP=0x6c43; latency=7976
[main.c] ^^ enclave RIP=0x6c45; latency=7752
[main.c] ^^ enclave RIP=0x8387; latency=7720
[main.c] ^^ enclave RIP=0x838a; latency=8002
[main.c] ^^ enclave RIP=0x8391; latency=7932
[main.c] ^^ enclave RIP=0x76fc; latency=7950
[main.c] ^^ enclave RIP=0x76ff; latency=7862
[main.c] ^^ enclave RIP=0x7706; latency=7884
[main.c] ^^ enclave RIP=0x7708; latency=7824
[main.c] ^^ enclave RIP=0x770d; latency=7820
[main.c] ^^ enclave RIP=0x7710; latency=7780
[main.c] ^^ enclave RIP=0x7713; latency=7954
[main.c] ^^ enclave RIP=0x7718; latency=7790
[main.c] ^^ enclave RIP=0x771d; latency=8062
[main.c] ^^ enclave RIP=0x7721; latency=7744
[main.c] ^^ enclave RIP=0x7727; latency=7940
[main.c] ^^ enclave RIP=0x8396; latency=7880
[main.c] ^^ enclave RIP=0x839d; latency=7858
[main.c] ^^ enclave RIP=0x83a0; latency=7810
[main.c] ^^ enclave RIP=0x83a4; latency=7658
[main.c] ^^ enclave RIP=0x83a7; latency=7808
[main.c] ^^ enclave RIP=0x83a8; latency=7766
[main.c] ^^ enclave RIP=0x83a9; latency=7694
[main.c] ^^ enclave RIP=0x83ac; latency=7674
[main.c] ^^ enclave RIP=0x83af; latency=7650
[main.c] ^^ enclave RIP=0x83b2; latency=7768
[main.c] ^^ enclave RIP=0x83b5; latency=7712
[main.c] ^^ enclave RIP=0x83b8; latency=7700
[main.c] ^^ enclave RIP=0x83bb; latency=7660
[main.c] ^^ enclave RIP=0x83be; latency=7888
[main.c] ^^ enclave RIP=0x83c1; latency=7678
[main.c] ^^ enclave RIP=0x83c4; latency=7604
[main.c] ^^ enclave RIP=0x83c7; latency=7704
[main.c] ^^ enclave RIP=0x83ca; latency=7864
[main.c] ^^ enclave RIP=0x83cd; latency=7904
[main.c] do_bsearch returned index 4
[main.c] Caught fault 11! Restoring enclave page permissions..
[main.c] ^^ enclave RIP=0x83d4; latency=8686
[main.c] ^^ enclave RIP=0x3000; latency=7788
[main.c] ^^ enclave RIP=0x2057; latency=7784
[main.c] ^^ enclave RIP=0x205c; latency=7706
[main.c] ^^ enclave RIP=0x2063; latency=7938
[main.c] ^^ enclave RIP=0x206a; latency=7776
[main.c] ^^ enclave RIP=0x206f; latency=7764
[main.c] ^^ enclave RIP=0x2074; latency=7818
[main.c] ^^ enclave RIP=0x8710; latency=7878
[main.c] ^^ enclave RIP=0x8712; latency=8036
[main.c] ^^ enclave RIP=0x8714; latency=8014
[main.c] ^^ enclave RIP=0x8716; latency=7830
[main.c] ^^ enclave RIP=0x8718; latency=7840
[main.c] ^^ enclave RIP=0x8719; latency=7800
[main.c] ^^ enclave RIP=0x871a; latency=7730
[main.c] ^^ enclave RIP=0x871e; latency=7790
[main.c] ^^ enclave RIP=0x8721; latency=7882
[main.c] ^^ enclave RIP=0x8726; latency=7986
[main.c] ^^ enclave RIP=0x8728; latency=7994
[main.c] ^^ enclave RIP=0x872b; latency=7820
[main.c] ^^ enclave RIP=0x872e; latency=7824
[main.c] ^^ enclave RIP=0x8731; latency=7796
[main.c] ^^ enclave RIP=0x8734; latency=7980
[main.c] ^^ enclave RIP=0x8750; latency=7802
[main.c] ^^ enclave RIP=0x8753; latency=7828
[main.c] ^^ enclave RIP=0x8758; latency=7738
[main.c] ^^ enclave RIP=0x875b; latency=7804
[main.c] ^^ enclave RIP=0x875e; latency=7778
[main.c] ^^ enclave RIP=0x8762; latency=7736
[main.c] ^^ enclave RIP=0x8766; latency=7858
[main.c] ^^ enclave RIP=0x8769; latency=7784
[main.c] ^^ enclave RIP=0x202f; latency=7718
[main.c] ^^ enclave RIP=0x2031; latency=7856
[main.c] ^^ enclave RIP=0x2033; latency=7886
[main.c] ^^ enclave RIP=0x2037; latency=7810
[main.c] ^^ enclave RIP=0x203a; latency=7748
[main.c] ^^ enclave RIP=0x203d; latency=7830
[main.c] ^^ enclave RIP=0x2041; latency=7868
[main.c] ^^ enclave RIP=0x876c; latency=7760
[main.c] ^^ enclave RIP=0x8771; latency=7766
[main.c] ^^ enclave RIP=0x8773; latency=7772
[main.c] ^^ enclave RIP=0x8776; latency=7726
[main.c] ^^ enclave RIP=0x8750; latency=7738
[main.c] ^^ enclave RIP=0x8753; latency=7968
[main.c] ^^ enclave RIP=0x8758; latency=7744
[main.c] ^^ enclave RIP=0x875b; latency=7746
[main.c] ^^ enclave RIP=0x875e; latency=7780
[main.c] ^^ enclave RIP=0x8762; latency=7876
[main.c] ^^ enclave RIP=0x8766; latency=7728
[main.c] ^^ enclave RIP=0x8769; latency=7872
[main.c] ^^ enclave RIP=0x202f; latency=7820
[main.c] ^^ enclave RIP=0x2031; latency=7976
[main.c] ^^ enclave RIP=0x2033; latency=8034
[main.c] ^^ enclave RIP=0x2037; latency=7756
[main.c] ^^ enclave RIP=0x203a; latency=7960
[main.c] ^^ enclave RIP=0x203d; latency=7724
[main.c] ^^ enclave RIP=0x2041; latency=8050
[main.c] ^^ enclave RIP=0x876c; latency=7740
[main.c] ^^ enclave RIP=0x8771; latency=7746
[main.c] ^^ enclave RIP=0x8740; latency=7876
[main.c] ^^ enclave RIP=0x8744; latency=7832
[main.c] ^^ enclave RIP=0x8748; latency=7756
[main.c] ^^ enclave RIP=0x874b; latency=7750
[main.c] ^^ enclave RIP=0x8750; latency=7726
[main.c] ^^ enclave RIP=0x8753; latency=7874
[main.c] ^^ enclave RIP=0x8758; latency=7700
[main.c] ^^ enclave RIP=0x875b; latency=7734
[main.c] ^^ enclave RIP=0x875e; latency=7774
[main.c] ^^ enclave RIP=0x8762; latency=7934
[main.c] ^^ enclave RIP=0x8766; latency=7766
[main.c] ^^ enclave RIP=0x8769; latency=7846
[main.c] ^^ enclave RIP=0x202f; latency=7746
[main.c] ^^ enclave RIP=0x2031; latency=7826
[main.c] ^^ enclave RIP=0x2033; latency=8020
[main.c] ^^ enclave RIP=0x2041; latency=7912
[main.c] ^^ enclave RIP=0x876c; latency=7724
[main.c] ^^ enclave RIP=0x8790; latency=7712
[main.c] ^^ enclave RIP=0x8794; latency=7760
[main.c] ^^ enclave RIP=0x8797; latency=7860
[main.c] ^^ enclave RIP=0x8798; latency=7766
[main.c] ^^ enclave RIP=0x8799; latency=7972
[main.c] ^^ enclave RIP=0x879b; latency=7954
[main.c] ^^ enclave RIP=0x879d; latency=7826
[main.c] ^^ enclave RIP=0x879f; latency=7818
[main.c] ^^ enclave RIP=0x87a1; latency=7772
[main.c] ^^ enclave RIP=0x2079; latency=7810
[main.c] ^^ enclave RIP=0x207c; latency=7752
[main.c] ^^ enclave RIP=0x207e; latency=7970
[main.c] ^^ enclave RIP=0x2083; latency=7866
[main.c] ^^ enclave RIP=0x208a; latency=7812
[main.c] ^^ enclave RIP=0x208d; latency=7840
[main.c] ^^ enclave RIP=0x2091; latency=7844
[main.c] ^^ enclave RIP=0x2094; latency=7784
[main.c] ^^ enclave RIP=0x2098; latency=7822
[main.c] ^^ enclave RIP=0x514a; latency=7800
[main.c] ^^ enclave RIP=0x514c; latency=8016
[main.c] ^^ enclave RIP=0x514e; latency=7696
[main.c] ^^ enclave RIP=0x514e; latency=11616
[main.c] ^^ enclave RIP=0x514e; latency=9728
[main.c] ^^ enclave RIP=0x514f; latency=7830
[main.c] ^^ enclave RIP=0x6c30; latency=7798
[main.c] ^^ enclave RIP=0x6c32; latency=7802
[main.c] ^^ enclave RIP=0x6c37; latency=7788
[main.c] ^^ enclave RIP=0x6c39; latency=7866
[main.c] ^^ enclave RIP=0x6c3d; latency=7764
[main.c] ^^ enclave RIP=0x6c3f; latency=7846
[main.c] ^^ enclave RIP=0x6c40; latency=7848
[main.c] ^^ enclave RIP=0x6c41; latency=8040
[main.c] ^^ enclave RIP=0x6c43; latency=7876
[main.c] ^^ enclave RIP=0x6c45; latency=7838
[main.c] ^^ enclave RIP=0x8387; latency=7808
[main.c] ^^ enclave RIP=0x838a; latency=7774
[main.c] ^^ enclave RIP=0x8391; latency=7834
[main.c] ^^ enclave RIP=0x76fc; latency=7958
[main.c] ^^ enclave RIP=0x76ff; latency=7764
[main.c] ^^ enclave RIP=0x7706; latency=8234
[main.c] ^^ enclave RIP=0x7708; latency=7954
[main.c] ^^ enclave RIP=0x770d; latency=7832
[main.c] ^^ enclave RIP=0x7710; latency=7816
[main.c] ^^ enclave RIP=0x7713; latency=7830
[main.c] ^^ enclave RIP=0x7718; latency=7972
[main.c] ^^ enclave RIP=0x771d; latency=8010
[main.c] ^^ enclave RIP=0x7721; latency=7766
[main.c] ^^ enclave RIP=0x7727; latency=7770
[main.c] ^^ enclave RIP=0x8396; latency=7658
[main.c] ^^ enclave RIP=0x839d; latency=7716
[main.c] ^^ enclave RIP=0x83a0; latency=7770
[main.c] ^^ enclave RIP=0x83a4; latency=7832
[main.c] ^^ enclave RIP=0x83a7; latency=7786
[main.c] ^^ enclave RIP=0x83a8; latency=7852
[main.c] ^^ enclave RIP=0x83a9; latency=7658
[main.c] ^^ enclave RIP=0x83ac; latency=7696
[main.c] ^^ enclave RIP=0x83af; latency=7750
[main.c] ^^ enclave RIP=0x83b2; latency=7732
[main.c] ^^ enclave RIP=0x83b5; latency=7692
[main.c] ^^ enclave RIP=0x83b8; latency=7644
[main.c] ^^ enclave RIP=0x83bb; latency=7652
[main.c] ^^ enclave RIP=0x83be; latency=7730
[main.c] ^^ enclave RIP=0x83c1; latency=7646
[main.c] ^^ enclave RIP=0x83c4; latency=7892
[main.c] ^^ enclave RIP=0x83c7; latency=7694
[main.c] ^^ enclave RIP=0x83ca; latency=7676
[main.c] ^^ enclave RIP=0x83cd; latency=7662
[main.c] do_bsearch returned index 4
[main.c] Caught fault 11! Restoring enclave page permissions..
[main.c] ^^ enclave RIP=0x83d4; latency=8784
[main.c] ^^ enclave RIP=0x3000; latency=8126
[main.c] ^^ enclave RIP=0x2057; latency=7890
[main.c] ^^ enclave RIP=0x205c; latency=7818
[main.c] ^^ enclave RIP=0x2063; latency=7760
[main.c] ^^ enclave RIP=0x206a; latency=7758
[main.c] ^^ enclave RIP=0x206f; latency=7788
[main.c] ^^ enclave RIP=0x2074; latency=7828
[main.c] ^^ enclave RIP=0x8710; latency=7782
[main.c] ^^ enclave RIP=0x8712; latency=7880
[main.c] ^^ enclave RIP=0x8714; latency=7876
[main.c] ^^ enclave RIP=0x8716; latency=7830
[main.c] ^^ enclave RIP=0x8718; latency=8006
[main.c] ^^ enclave RIP=0x8719; latency=7910
[main.c] ^^ enclave RIP=0x871a; latency=7902
[main.c] ^^ enclave RIP=0x871e; latency=7746
[main.c] ^^ enclave RIP=0x8721; latency=7916
[main.c] ^^ enclave RIP=0x8726; latency=7794
[main.c] ^^ enclave RIP=0x8728; latency=7770
[main.c] ^^ enclave RIP=0x872b; latency=7728
[main.c] ^^ enclave RIP=0x872e; latency=7746
[main.c] ^^ enclave RIP=0x8731; latency=7722
[main.c] ^^ enclave RIP=0x8734; latency=7764
[main.c] ^^ enclave RIP=0x8750; latency=7750
[main.c] ^^ enclave RIP=0x8753; latency=7850
[main.c] ^^ enclave RIP=0x8758; latency=7704
[main.c] ^^ enclave RIP=0x875b; latency=7784
[main.c] ^^ enclave RIP=0x875e; latency=7806
[main.c] ^^ enclave RIP=0x8762; latency=7794
[main.c] ^^ enclave RIP=0x8766; latency=7772
[main.c] ^^ enclave RIP=0x8769; latency=7838
[main.c] ^^ enclave RIP=0x202f; latency=7782
[main.c] ^^ enclave RIP=0x2031; latency=7934
[main.c] ^^ enclave RIP=0x2033; latency=8270
[main.c] ^^ enclave RIP=0x2037; latency=7768
[main.c] ^^ enclave RIP=0x203a; latency=7850
[main.c] ^^ enclave RIP=0x203d; latency=7942
[main.c] ^^ enclave RIP=0x2041; latency=7950
[main.c] ^^ enclave RIP=0x876c; latency=7740
[main.c] ^^ enclave RIP=0x8771; latency=7854
[main.c] ^^ enclave RIP=0x8773; latency=7722
[main.c] ^^ enclave RIP=0x8776; latency=7766
[main.c] ^^ enclave RIP=0x8750; latency=7786
[main.c] ^^ enclave RIP=0x8753; latency=7866
[main.c] ^^ enclave RIP=0x8758; latency=8350
[main.c] ^^ enclave RIP=0x875b; latency=7738
[main.c] ^^ enclave RIP=0x875e; latency=7778
[main.c] ^^ enclave RIP=0x8762; latency=7754
[main.c] ^^ enclave RIP=0x8766; latency=7972
[main.c] ^^ enclave RIP=0x8769; latency=7836
[main.c] ^^ enclave RIP=0x202f; latency=7722
[main.c] ^^ enclave RIP=0x2031; latency=7866
[main.c] ^^ enclave RIP=0x2033; latency=7896
[main.c] ^^ enclave RIP=0x2037; latency=7742
[main.c] ^^ enclave RIP=0x203a; latency=7884
[main.c] ^^ enclave RIP=0x203d; latency=8042
[main.c] ^^ enclave RIP=0x2041; latency=7922
[main.c] ^^ enclave RIP=0x876c; latency=7754
[main.c] ^^ enclave RIP=0x8771; latency=7758
[main.c] ^^ enclave RIP=0x8740; latency=7794
[main.c] ^^ enclave RIP=0x8744; latency=7810
[main.c] ^^ enclave RIP=0x8748; latency=7778
[main.c] ^^ enclave RIP=0x874b; latency=7762
[main.c] ^^ enclave RIP=0x8750; latency=7918
[main.c] ^^ enclave RIP=0x8753; latency=7836
[main.c] ^^ enclave RIP=0x8758; latency=7754
[main.c] ^^ enclave RIP=0x875b; latency=7696
[main.c] ^^ enclave RIP=0x875e; latency=7780
[main.c] ^^ enclave RIP=0x8762; latency=7748
[main.c] ^^ enclave RIP=0x8766; latency=7780
[main.c] ^^ enclave RIP=0x8769; latency=7818
[main.c] ^^ enclave RIP=0x202f; latency=7814
[main.c] ^^ enclave RIP=0x2031; latency=7888
[main.c] ^^ enclave RIP=0x2033; latency=8046
[main.c] ^^ enclave RIP=0x2041; latency=7846
[main.c] ^^ enclave RIP=0x876c; latency=7732
[main.c] ^^ enclave RIP=0x8790; latency=7794
[main.c] ^^ enclave RIP=0x8794; latency=7734
[main.c] ^^ enclave RIP=0x8797; latency=7858
[main.c] ^^ enclave RIP=0x8798; latency=7870
[main.c] ^^ enclave RIP=0x8799; latency=7992
[main.c] ^^ enclave RIP=0x879b; latency=7862
[main.c] ^^ enclave RIP=0x879d; latency=7984
[main.c] ^^ enclave RIP=0x879f; latency=7780
[main.c] ^^ enclave RIP=0x87a1; latency=7792
[main.c] ^^ enclave RIP=0x2079; latency=7784
[main.c] ^^ enclave RIP=0x207c; latency=7792
[main.c] ^^ enclave RIP=0x207e; latency=7780
[main.c] ^^ enclave RIP=0x2083; latency=7788
[main.c] ^^ enclave RIP=0x208a; latency=7766
[main.c] ^^ enclave RIP=0x208d; latency=7946
[main.c] ^^ enclave RIP=0x2091; latency=7822
[main.c] ^^ enclave RIP=0x2094; latency=7744
[main.c] ^^ enclave RIP=0x2098; latency=7842
[main.c] ^^ enclave RIP=0x514a; latency=7746
[main.c] ^^ enclave RIP=0x514c; latency=7756
[main.c] ^^ enclave RIP=0x514e; latency=7846
[main.c] ^^ enclave RIP=0x514f; latency=7856
[main.c] ^^ enclave RIP=0x6c30; latency=7730
[main.c] ^^ enclave RIP=0x6c32; latency=7848
[main.c] ^^ enclave RIP=0x6c37; latency=7748
[main.c] ^^ enclave RIP=0x6c39; latency=7712
[main.c] ^^ enclave RIP=0x6c3d; latency=7858
[main.c] ^^ enclave RIP=0x6c3f; latency=7942
[main.c] ^^ enclave RIP=0x6c40; latency=7954
[main.c] ^^ enclave RIP=0x6c41; latency=7796
[main.c] ^^ enclave RIP=0x6c43; latency=7848
[main.c] ^^ enclave RIP=0x6c45; latency=7770
[main.c] ^^ enclave RIP=0x8387; latency=7784
